Venue,all,ICSE,FSE,TSE,TOSEM,,,,,,
 Program Analysis,0.105,0.156,0.246,0.121,0.185,,,,,,
 Requirements,0.145,0.117,0.063,0.102,0.078,,,,,,
 Metrics,0.098,0.064,0.057,0.141,0.092,,,,,,
 Applications,0.089,0.082,0.082,0.089,0.087,,,,,,
 Performance,0.069,0.028,0.031,0.056,0.03,,,,,,
 Miscellaneous,0.01,0.008,0.006,0.006,0.011,,,,,,
 Testing,0.079,0.071,0.097,0.118,0.075,,,,,,
 Source Code,0.143,0.187,0.171,0.108,0.132,,,,,,
 Architecture,0.043,0.044,0.039,0.035,0.03,,,,,,
 Modeling,0.124,0.089,0.109,0.153,0.211,,,,,,
 Developer,0.095,0.154,0.098,0.07,0.067,,,,,,
,,,,,,,,,,,
Eucledian(Lesser Better),,0.114,0.177,0.092,0.145,,,,,,
Cosine(Greater Better),,0.946,0.879,0.962,0.915,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,